node_id,node_name,node_kind,inst_name,cell_name,port_name,io_type,is_sequential_cell,is_buffer_cell,is_inverter_cell,is_clock_pin,is_endpoint,x_um,y_um,inst_x_um,inst_y_um,cell_area_um2,port_cap_max_f,port_cap_min_f
297,_445_/B2,iterm,_445_,OAI21_X4,B2,INPUT,0,0,0,0,0,13.7455,18.714,12.16,18.2,nan,6.500426028211619e-15,6.4630490053481284e-15
298,_444_/ZN,iterm,_444_,NAND2_X1,ZN,OUTPUT,0,0,0,0,0,8.925,21.493,8.55,21.0,nan,0.0,0.0
299,rebuffer336/A,iterm,rebuffer336,BUF_X1,A,INPUT,0,1,0,0,0,17.415,14.7875,17.29,14.0,nan,9.746590013071316e-16,8.752499970075052e-16
300,_485_/B1,iterm,_485_,OAI221_X2,B1,INPUT,0,0,0,0,0,16.118,11.88,14.63,11.2,nan,3.4774429429756948e-15,2.9729079797019076e-15
301,_483_/B2,iterm,_483_,AOI21_X1,B2,INPUT,0,0,0,0,0,18.37,13.2125,18.24,12.6,nan,1.6768529144709724e-15,1.4099260453741855e-15
302,_445_/ZN,iterm,_445_,OAI21_X4,ZN,OUTPUT,0,0,0,0,0,13.513,19.0385,12.16,18.2,nan,0.0,0.0
303,input13/A,iterm,input13,BUF_X1,A,INPUT,0,1,0,0,0,14.945,31.5875,14.82,30.8,nan,9.746590013071316e-16,8.752499970075052e-16
304,req_msg[20],bterm,,,req_msg[20],INPUT,0,0,0,0,0,15.215,33.755,nan,nan,nan,nan,nan
305,_448_/B,iterm,_448_,XNOR2_X1,B,INPUT,0,0,0,0,0,6.7525,16.234,6.08,15.4,nan,2.573607966278521e-15,2.3681649953614372e-15
306,_447_/Z,iterm,_447_,XOR2_X1,Z,OUTPUT,0,0,0,0,0,6.759,17.581,5.89,16.8,nan,0.0,0.0
307,place214/A,iterm,place214,BUF_X1,A,INPUT,0,1,0,0,0,2.595,9.1875,2.47,8.4,nan,9.746590013071316e-16,8.752499970075052e-16
308,_450_/A1,iterm,_450_,AND2_X1,A1,INPUT,0,0,0,0,0,5.8225,11.9875,5.7,11.2,nan,9.181449630663247e-16,8.748319862480352e-16
309,_449_/ZN,iterm,_449_,INV_X1,ZN,OUTPUT,0,0,1,0,0,4.8375,10.5,4.56,9.8,nan,0.0,0.0
310,_480_/A,iterm,_480_,OAI221_X1,A,INPUT,0,0,0,0,0,13.8025,9.1875,13.3,8.4,nan,1.6302249153949257e-15,1.539664070201877e-15
311,_463_/A3,iterm,_463_,NOR3_X1,A3,INPUT,0,0,0,0,0,7.5275,11.9875,7.41,11.2,nan,1.6162979996761704e-15,1.5527180125893682e-15
312,_461_/A2,iterm,_461_,NOR2_X1,A2,INPUT,0,0,0,0,0,13.8025,17.5875,13.68,16.8,nan,1.6513450466600012e-15,1.5638450609009743e-15
313,_460_/A2,iterm,_460_,NOR2_X1,A2,INPUT,0,0,0,0,0,16.0825,18.8125,15.96,18.2,nan,1.6513450466600012e-15,1.5638450609009743e-15
314,_452_/A1,iterm,_452_,OR2_X1,A1,INPUT,0,0,0,0,0,6.2025,13.2125,6.08,12.6,nan,9.46813957836449e-16,7.923849755358538e-16
315,_450_/ZN,iterm,_450_,AND2_X1,ZN,OUTPUT,0,0,0,0,0,6.355,11.88,5.7,11.2,nan,0.0,0.0
316,place204/A,iterm,place204,BUF_X1,A,INPUT,0,1,0,0,0,4.875,7.6125,4.75,7.0,nan,9.746590013071316e-16,8.752499970075052e-16
317,_484_/A1,iterm,_484_,NOR2_X1,A1,INPUT,0,0,0,0,0,16.2175,7.6125,15.77,7.0,nan,1.7144710240870752e-15,1.4130929956848509e-15
318,_451_/ZN,iterm,_451_,NOR2_X1,ZN,OUTPUT,0,0,0,0,0,3.415,8.893,3.04,8.4,nan,0.0,0.0
319,_457_/A,iterm,_457_,XNOR2_X2,A,INPUT,0,0,0,0,0,7.125,14.7875,6.08,14.0,nan,4.003783287168886e-15,3.802061120230854e-15
320,_452_/ZN,iterm,_452_,OR2_X1,ZN,OUTPUT,0,0,0,0,0,6.735,13.295,6.08,12.6,nan,0.0,0.0
321,_454_/A,iterm,_454_,OAI21_X1,A,INPUT,0,0,0,0,0,7.8575,16.0125,7.22,15.4,nan,1.6707160548889966e-15,1.518574008606429e-15
322,_483_/A,iterm,_483_,AOI21_X1,A,INPUT,0,0,0,0,0,18.8775,13.2125,18.24,12.6,nan,1.6263519631227238e-15,1.5353399670061437e-15
323,_463_/A1,iterm,_463_,NOR3_X1,A1,INPUT,0,0,0,0,0,7.9025,11.9875,7.41,11.2,nan,1.7635709829405652e-15,1.4005010038909685e-15
324,_461_/A1,iterm,_461_,NOR2_X1,A1,INPUT,0,0,0,0,0,14.1275,17.5875,13.68,16.8,nan,1.7144710240870752e-15,1.4130929956848509e-15
325,_453_/ZN,iterm,_453_,INV_X1,ZN,OUTPUT,0,0,1,0,0,14.5275,16.1,14.25,15.4,nan,0.0,0.0
326,_456_/A2,iterm,_456_,NAND2_X1,A2,INPUT,0,0,0,0,0,6.9625,11.9875,6.84,11.2,nan,1.664198983392822e-15,1.5022779417342034e-15
327,_454_/ZN,iterm,_454_,OAI21_X1,ZN,OUTPUT,0,0,0,0,0,7.6,16.189,7.22,15.4,nan,0.0,0.0
328,_456_/A1,iterm,_456_,NAND2_X1,A1,INPUT,0,0,0,0,0,7.2875,11.9875,6.84,11.2,nan,1.5990320800793388e-15,1.5291960135232346e-15
329,_455_/ZN,iterm,_455_,NAND2_X1,ZN,OUTPUT,0,0,0,0,0,7.975,18.693,7.6,18.2,nan,0.0,0.0
330,_457_/B,iterm,_457_,XNOR2_X2,B,INPUT,0,0,0,0,0,7.1805,14.704,6.08,14.0,nan,4.83693590551653e-15,4.419037801428518e-15
331,_456_/ZN,iterm,_456_,NAND2_X1,ZN,OUTPUT,0,0,0,0,0,7.215,12.1065,6.84,11.2,nan,0.0,0.0
332,input12/A,iterm,input12,BUF_X1,A,INPUT,0,1,0,0,0,32.045,25.9875,31.92,25.2,nan,9.746590013071316e-16,8.752499970075052e-16
333,req_msg[1],bterm,,,req_msg[1],INPUT,0,0,0,0,0,33.755,22.47,nan,nan,nan,nan,nan
334,place213/A,iterm,place213,BUF_X1,A,INPUT,0,1,0,0,0,8.485,10.4125,8.36,9.8,nan,9.746590013071316e-16,8.752499970075052e-16
335,_480_/B2,iterm,_480_,OAI221_X1,B2,INPUT,0,0,0,0,0,13.4225,9.1875,13.3,8.4,nan,1.6054170144357417e-15,1.5435179642327656e-15
336,_459_/ZN,iterm,_459_,INV_X1,ZN,OUTPUT,0,0,1,0,0,11.1075,7.7,10.83,7.0,nan,0.0,0.0
337,_462_/B1,iterm,_462_,OAI221_X2,B1,INPUT,0,0,0,0,0,16.688,17.48,15.2,16.8,nan,3.4774429429756948e-15,2.9729079797019076e-15
338,_460_/ZN,iterm,_460_,NOR2_X1,ZN,OUTPUT,0,0,0,0,0,16.335,19.1065,15.96,18.2,nan,0.0,0.0
339,_462_/B2,iterm,_462_,OAI221_X2,B2,INPUT,0,0,0,0,0,16.63,17.5875,15.2,16.8,nan,3.124702001322272e-15,2.9840259224093307e-15
340,_461_/ZN,iterm,_461_,NOR2_X1,ZN,OUTPUT,0,0,0,0,0,14.055,17.293,13.68,16.8,nan,0.0,0.0
341,rebuffer337/A,iterm,rebuffer337,BUF_X2,A,INPUT,0,1,0,0,0,11.925,10.4125,11.78,9.8,nan,1.7792090110918925e-15,1.5893980332163868e-15
342,place189/A,iterm,place189,BUF_X2,A,INPUT,0,1,0,0,0,11.925,7.6125,11.78,7.0,nan,1.7792090110918925e-15,1.5893980332163868e-15
343,_462_/ZN,iterm,_462_,OAI221_X2,ZN,OUTPUT,0,0,0,0,0,16.0085,17.256,15.2,16.8,nan,0.0,0.0
